level_0,index,Radiance,c2_1,c3_1,water_Reflectance_1,c2_2,c3_2,water_Reflectance_2,Mean_water_Reflectance,Standard_deviation_water
91,91,441.0,25.81924,23497100.0,108.4918,25.81924,20716760.0,95.6478,102.0698,9.082079497560013
92,92,442.0,26.484209999999997,24094710.0,108.4516,26.484209999999997,21280410.0,95.7785,102.11505,8.961234948655239
93,93,443.0,27.102009999999996,24684170.0,108.5717,27.102009999999996,21838110.0,96.0539,102.31280000000001,8.85142126553697
94,94,444.0,27.706940000000003,25255240.0,108.6587,27.706940000000003,22348130.0,96.1549,102.4068,8.841521770600352
95,95,445.0,28.30051,25806260.0,108.7028,28.30051,22833590.0,96.1826,102.4427,8.853118321811815
96,96,446.0,28.88518,26335280.0,108.6883,28.88518,23310170.0,96.2007,102.4445,8.83006664074513
97,97,447.0,29.46323,26837010.0,108.5873,29.46323,23754750.0,96.1144,102.35085000000001,8.819672171061685
98,98,448.0,29.98985,27307590.0,108.5472,29.98985,24160520.0,96.0389,102.29305,8.844703751115695
99,99,449.0,30.43145,27744110.0,108.6787,30.43145,24521900.0,96.0591,102.3689,8.923404735861759
100,100,450.0,30.86989,28205890.0,108.9175,30.86989,24898540.0,96.1481,102.53280000000001,9.029329331683503
101,101,451.0,31.3437,28669270.0,109.039,31.3437,25284880.0,96.1666,102.6028,9.102161330145714
102,102,452.0,31.90873,29101500.0,108.7226,31.90873,25672500.0,95.912,102.3173,9.058462131068381
103,103,453.0,32.478320000000004,29542300.0,108.4348,32.478320000000004,26092390.0,95.7708,102.1028,8.95480027694644
104,104,454.0,33.03791,30043690.0,108.4037,33.03791,26555670.0,95.8187,102.1112,8.898938841232695
105,105,455.0,33.56135,30678800.0,108.9681,33.56135,27078820.0,96.1817,102.57490000000001,9.041350146963671
106,106,456.0,34.22723,31302720.0,109.0266,34.22723,27602250.0,96.1385,102.58255,9.113262906610348
107,107,457.0,34.9614,31928260.0,108.8667,34.9614,28149990.0,95.9833,102.425,9.109939504738762
108,108,458.0,35.66063,32574160.0,108.8911,35.66063,28757210.0,96.1309,102.511,9.022823949296582
109,109,459.0,36.41398,33251780.0,108.8573,36.41398,29360980.0,96.1204,102.48885,9.00634836129493
110,110,460.0,37.22996,33972250.0,108.7784,37.22996,29984890.0,96.011,102.3947,9.027915118121134
111,111,461.0,38.122859999999996,34752170.0,108.6697,38.122859999999996,30661690.0,95.8791,102.2744,9.044319995444663
112,112,462.0,39.00206,35540650.0,108.6293,39.00206,31366270.0,95.8699,102.2496,9.022258263871635
113,113,463.0,39.8772,36343260.0,108.6448,39.8772,32089500.0,95.9286,102.2867,8.991711250924377
114,114,464.0,40.7701,37173330.0,108.693,40.7701,32825350.0,95.9795,102.33625,8.98980206261517
115,115,465.0,41.54299,37946350.0,108.8869,41.54299,33484370.0,96.0841,102.4855,9.052946698175123
